"RT @RGIII: It’s not black versus white.
It’s everyone versus racism.",ImTheDavidB,2020-09-25 03:13:15,"New Jersey, USA",12135,0,Negative_Tweet,en
RT @redfishstream: Castro was to them that bearded revolutionary who had told the white America to go to hell and his stay there was an imp…,MiamiRed4,2020-09-25 03:13:15,,33,0,Negative_Tweet,en
"RT @RealCandaceO: STOP INFANTALIZING BLACK AMERICA. 

We are capable of following laws. We are capable of respecting police officers. We ar…",Dana0919,2020-09-25 03:13:14,"Florida, US",11447,0,Negative_Tweet,en
"RT @blaze0497: How do you feel when @JoeBiden, who has been building the ""system"" 40+ Yrs. that you claim is full of racism says you're not…",msyoung2222,2020-09-25 03:13:14,"Tennessee, USA",202,0,Negative_Tweet,en
"RT @RevDrBarber: Fusion organizing, Black and white fighting systemic racism together, is not new.

https://t.co/fHph3Xk6Wf",jeffreynparker,2020-09-25 03:13:13,"New Orleans, LA",52,0,Negative_Tweet,en
"RT @momurichii: @senatemajldr @SenJoniErnst The Radical Republicans:
*202K Preventable Deaths
*Economy Destroyed
*40 Mil Unemployed
*25,000…",layniez1,2020-09-25 03:13:12,,3,0,Negative_Tweet,en
RT @bennyluo: Wow...thanks for sharing your experience @bts_bighit #bts https://t.co/UwG7sKEryw,WH0SALYA,2020-09-25 03:13:12,,5386,0,Negative_Tweet,en
RT @ItsZaeOk: idk who needs to hear this but you cannot vote away white supremacy and institutionalized racism.,xxoeoexx,2020-09-25 03:13:11,eptx,1105,0,Negative_Tweet,en
"RT @BostonGlobe: Boston City Councilor Andrea Campbell announced Thursday that she is running for mayor in next year’s election, citing the…",AndreaA2Z,2020-09-25 03:13:11,"Maryland, USA",90,0,Negative_Tweet,en
"RT @yasminv: “It’s painful to realize that kneeling for the national anthem can cost a football player like Colin Kaepernick his career, bu…",robsaxan,2020-09-25 03:13:10,TX WI - USA - CA VA,502,0,Negative_Tweet,en
I’ll tell you you’re stupid on a real account dumb bitch. “Lol I’m laughing so hard it’s hilarious to be called out… https://t.co/5smG7eNcP1,GraceNeal_,2020-09-25 03:13:10,"Bloomington, IN",0,0,Negative_Tweet,en
"RT @RGIII: It’s not black versus white.
It’s everyone versus racism.",cam_leone,2020-09-25 03:13:10,,12135,0,Negative_Tweet,en
Dismantling racism opportunities are everywhere. Today’s challenge: will digital loan apps diminish or extend racia… https://t.co/dUmboJdVgH,RitaParikhVic,2020-09-25 03:13:10,"Victoria, British Columbia",0,0,Negative_Tweet,en
RT @TheRightMelissa: @KamalaHarris Please stop lying Kamala. The police knocked &amp; her drug dealer boyfriend opened fire at police &amp; the pol…,darightsyde,2020-09-25 03:13:10,Pacific Isl,2757,0,Negative_Tweet,en
"RT @Chowder_1824: women be like ""racism is the stupidest thing in the world, how can people actually believe in intrisic differences in one…",Gudferyerhelth,2020-09-25 03:13:10,SW-2008-6436-8318,24,0,Negative_Tweet,en
"Because this is about black lives mattering, and not advancing a neo-Marxist agenda through white liberal guilt and… https://t.co/9rsVuSxJ9c",continu_um,2020-09-25 03:13:09,,0,0,Negative_Tweet,en
"RT @katsukisgorl: tw// racism, police brutality 

it’s been SIX MONTHS since breonna taylor’s death and NOTHING has changed and none of the…",desoc7,2020-09-25 03:13:09,,5039,0,Negative_Tweet,en
"@gilmcgowan @Recidivisim His racism is hardwired.
Also disingenuous.
Kenney went to India to meet with former forei… https://t.co/0lW8AckdJ6",signsaresaying,2020-09-25 03:13:09,Treaty One 🇨🇦 Turtle Island,0,0,Negative_Tweet,en
"@XLVIII_Percent @francesweetman reverse racism doesn't exist, why do you wanna be opressed so bad &lt;3",dclcmania,2020-09-25 03:13:08,ɥɔuǝɹʇ,0,0,Negative_Tweet,en
"RT @RGIII: It’s not black versus white.
It’s everyone versus racism.",iamzayvonknox,2020-09-25 03:13:07,,12135,0,Negative_Tweet,en
"RT @Theorossi: Her LIFE was Not yours to take.

WE will Not just say Her name loud but for FOREVER.

HER Spirit will only further strengthe…",stipefreak,2020-09-25 03:13:06,"Chico, California",24,0,Negative_Tweet,en
RT @JoelDTD: Why are white people like this. White people even want Black people’s racism problems!,s13anthony,2020-09-25 03:13:06,"San Bernardino, CA",2,0,Negative_Tweet,en
"RT @s_amememe___: As Liberalism exhausts its primary tools (government programs, legislation, corporate policy) in creating its perfectly e…",DonnaMillsFan1,2020-09-25 03:13:06,"Austin, TX ",4,0,Negative_Tweet,en
RT @Will4xrp: @PresKMJohnson Anti-racism is just another different kind of racism.,q_otter,2020-09-25 03:13:05,,2,0,Negative_Tweet,en
"@LacieCo92716571 @jgonzalez415 @SpeakerPelosi Wow. You've got a serious projection issue. 
I just have to wonder if… https://t.co/xLd65NsTjr",A83Patriot,2020-09-25 03:13:04,"Freedom City, USA",0,0,Negative_Tweet,en
"RT @_S0lana_: @burntsugr ""I can excuse racism but I draw the line at misogyny""",teteslut,2020-09-25 03:13:04,she/they • 17 • carrd byf,286,0,Negative_Tweet,en
"RT @RadiantG_: If your team is mostly cis, there will be unchecked transphobia.

If your team is mostly white, there will be unchecked raci…",aurulentAtoms,2020-09-25 03:13:03,,257,0,Negative_Tweet,en
RT @bennyluo: Wow...thanks for sharing your experience @bts_bighit #bts https://t.co/UwG7sKEryw,Nj_moonchild_,2020-09-25 03:13:03,bts♡.,5386,0,Negative_Tweet,en
RT @ajunicebot: stop making fun of our eyes. stop making fun of our names. stop making fun of our cooking. stop making fun of our languages…,jungwoniebabie,2020-09-25 03:13:03,20 🇨🇦🇲🇨,170,0,Negative_Tweet,en
