"RT @ProjectLincoln: The United States has surpassed 7,000,000 cases of coronavirus. 

This continues to be the worst federal response to a…",PaulHedquist,2020-09-25 03:17:57,,2511,0,Neutral_Tweet,es
"RT @ProjectLincoln: The United States has surpassed 7,000,000 cases of coronavirus. 

This continues to be the worst federal response to a…",BitterPolitic,2020-09-25 03:17:57,USA,2512,0,Neutral_Tweet,es
"RT @mhcsnsw: #GetTested if you have #COVID19 symptoms including fever, cough, sore / scratchy throat, shortness of breath / loss of taste o…",NSWHealth,2020-09-25 03:17:57,NSW Australia,1,0,Neutral_Tweet,es
"RT @ProjectLincoln: The United States has surpassed 7,000,000 cases of coronavirus. 

This continues to be the worst federal response to a…",FlintPalmdale,2020-09-25 03:17:57,,2512,0,Neutral_Tweet,es
RT @mundodabola: Coronavírus testou positivo para Zlatan Ibrahimović. Agora o corona terá que ficar de quarentena por 14 dias. https://t.co…,1Gustinho,2020-09-25 03:17:57,,4488,0,Neutral_Tweet,es
"RT @ProjectLincoln: The United States has surpassed 7,000,000 cases of coronavirus. 

This continues to be the worst federal response to a…",theibewbro,2020-09-25 03:17:57,"Kapaa, Hawaii",2512,0,Neutral_Tweet,es
RT @SkyNews: Coronavirus: Second COVID-19 vaccine to begin advanced clinical trials in the UK https://t.co/5x7EKKXjqc,blind_pundit,2020-09-25 03:17:57,Lone-Star State. Wild / Free,20,0,Neutral_Tweet,es
"RT @Christin210: Our president* owes the USPS 28 MILLION for the coronavirus postcards.

It seems, he planned on NOT PAYING, to bankrupt th…",Daysend10,2020-09-25 03:17:57,,19,0,Neutral_Tweet,es
@Carpe46Diem @Queenoftheunse1 @NOS De Pcr test is helemaal niet geschikt om het coronavirus geëlimineerd te detecte… https://t.co/WVN5wQNbC7,Jeannijhuis,2020-09-25 03:17:56,,0,0,Neutral_Tweet,es
RT @DanRather: Donald Trump doesn’t seem to understand that the purpose of a coronavirus vaccine is not to inoculate the electorate from hi…,cleanthismessup,2020-09-25 03:17:56,counter.social,1567,0,Neutral_Tweet,es
